name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2019-04-08,16.7,7.2,10.7,16.7,6.2,10.5,4.9,71.7,2.043,100,62.5,rain,0,0,53.6,30.2,257.2,1011.8,76.4,12.7,165.1,14.2,8,,2019-04-08T07:47:52,2019-04-08T20:46:12,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,D4212,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2019-04-09,13.1,5.1,8.6,13.1,3.7,7.5,2.5,67.6,0.416,100,29.17,rain,0,0,52.9,22.8,267.3,1012.8,58.9,20.2,165.8,14.5,7,,2019-04-09T07:46:18,2019-04-09T20:47:14,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2019-04-10,14.7,6.2,9.9,14.7,3.9,8.9,1.1,56,0.685,100,20.83,rain,0,0,33.4,23.1,297.7,1013.4,58.8,20.9,233.3,20.2,8,,2019-04-10T07:44:43,2019-04-10T20:48:16,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-11,16.5,4.4,10.5,16.5,2.3,10,-0.3,49.1,0,0,0,,0,0,29.2,12.4,28.9,1017.4,32.6,20.3,250.1,21.5,10,,2019-04-11T07:43:09,2019-04-11T20:49:18,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-12,18.7,3.9,11.4,18.7,3.9,11.2,0.2,49.4,0,0,0,,0,0,27.9,13.6,28.6,1017.6,9.3,20.8,279.8,24.2,9,,2019-04-12T07:41:36,2019-04-12T20:50:20,0.25,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-13,21.5,3.7,13.3,21.5,3.7,13.3,-2.1,38.1,0,0,0,,0,0,23.4,11.9,225,1017.4,13.3,20.4,286.4,24.7,9,,2019-04-13T07:40:04,2019-04-13T20:51:22,0.29,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-14,23.5,7.6,16.2,23.5,7.6,16.2,5.8,50.9,0,0,0,,0,0,21.2,13.4,244.4,1015.2,52.7,20.2,270.4,23.3,9,,2019-04-14T07:38:31,2019-04-14T20:52:24,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2019-04-15,24.5,10.7,16.9,24.5,10.7,16.9,8.1,59.3,0,0,0,,0,0,63,32.6,250.1,1011.5,68,20.8,210.1,18.2,10,,2019-04-15T07:37:00,2019-04-15T20:53:26,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2019-04-16,21.2,6.9,14.6,21.2,6.9,14.6,4,52.1,0,0,0,,0,0,29.5,11.6,186.2,1015.6,38.9,20.9,276.5,23.7,9,,2019-04-16T07:35:29,2019-04-16T20:54:28,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-17,23.4,10.2,16.1,23.4,10.2,16.1,6.9,56.9,0.939,100,8.33,rain,0,0,79.6,22.9,134.4,1010.9,70.3,19.1,212.2,18.3,9,,2019-04-17T07:33:59,2019-04-17T20:55:30,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-18,14.2,9.2,10.4,14.2,7.9,10.1,8.6,88.4,36.789,100,95.83,rain,0,0,100.1,13.1,76.9,1012.2,95,11.6,54.3,4.6,2,,2019-04-18T07:32:30,2019-04-18T20:56:32,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-04-19,11.1,9,9.6,11.1,7.6,9.2,7.4,86.4,9.585,100,66.67,rain,0,0,103.7,12.6,73.1,1015.4,95.2,14.5,56.8,4.8,2,,2019-04-19T07:31:02,2019-04-19T20:57:34,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,D4212,08226099999,LETO,08213099999,08222099999,08223099999"
